run_accession	experiment_accession	experiment_title	fastq_ftp
SRR5209817	SRX2523332	Illumina HiSeq 2500 sequencing: GSM2471094: CM_PMA_Ionomycin Sample 1 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/007/SRR5209817/SRR5209817.fastq.gz
SRR5209822	SRX2523337	Illumina HiSeq 2500 sequencing: GSM2471099: TM_Unstimulated Control Sample 6 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/002/SRR5209822/SRR5209822.fastq.gz
SRR5209825	SRX2523340	Illumina HiSeq 2500 sequencing: GSM2471102: EM_PMA_Ionomycin Sample 9 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/005/SRR5209825/SRR5209825.fastq.gz
SRR5209827	SRX2523342	Illumina HiSeq 2500 sequencing: GSM2471104: EM_Bryostatin Sample 11 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/007/SRR5209827/SRR5209827.fastq.gz
SRR5209828	SRX2523343	Illumina HiSeq 2500 sequencing: GSM2471105: EM_IL15 Sample 12 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/008/SRR5209828/SRR5209828.fastq.gz
SRR5209829	SRX2523344	Illumina HiSeq 2500 sequencing: GSM2471106: CM_PMA_Ionomycin Sample 13 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/009/SRR5209829/SRR5209829.fastq.gz
SRR5209830	SRX2523345	Illumina HiSeq 2500 sequencing: GSM2471107: CM_Unstimulated Control Sample 14 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/000/SRR5209830/SRR5209830.fastq.gz
SRR5209833	SRX2523348	Illumina HiSeq 2500 sequencing: GSM2471110: TM_PMA_Ionomycin Sample 17 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/003/SRR5209833/SRR5209833.fastq.gz
SRR5209838	SRX2523353	Illumina HiSeq 2500 sequencing: GSM2471115: EM_Unstimulated Control Sample 22 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/008/SRR5209838/SRR5209838.fastq.gz
SRR5209839	SRX2523354	Illumina HiSeq 2500 sequencing: GSM2471116: EM_Bryostatin Sample 23 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/009/SRR5209839/SRR5209839.fastq.gz
SRR5209841	SRX2523356	Illumina HiSeq 2500 sequencing: GSM2471118: CM_PMA_Ionomycin Sample 25 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/001/SRR5209841/SRR5209841.fastq.gz
SRR5209843	SRX2523358	Illumina HiSeq 2500 sequencing: GSM2471120: CM_Bryostatin Sample 27 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/003/SRR5209843/SRR5209843.fastq.gz
SRR5209845	SRX2523360	Illumina HiSeq 2500 sequencing: GSM2471122: TM_PMA_Ionomycin Sample 29 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/005/SRR5209845/SRR5209845.fastq.gz
SRR5209848	SRX2523363	Illumina HiSeq 2500 sequencing: GSM2471125: TM_IL15 Sample 32 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/008/SRR5209848/SRR5209848.fastq.gz
SRR5209849	SRX2523364	Illumina HiSeq 2500 sequencing: GSM2471126: EM_PMA_Ionomycin Sample 33 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/009/SRR5209849/SRR5209849.fastq.gz
SRR5209851	SRX2523366	Illumina HiSeq 2500 sequencing: GSM2471128: EM_Bryostatin Sample 35 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/001/SRR5209851/SRR5209851.fastq.gz
SRR5209818	SRX2523333	Illumina HiSeq 2500 sequencing: GSM2471095: CM_Unstimulated Control Sample 2 Homo sapiens RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR520/008/SRR5209818/SRR5209818.fastq.gz
